topic_id,topic,band,level,question,answer,source
quadratics,Quadratic Equations,10-11,easy,Solve: x^2 = 49,x = 7 or x = −7,reviewed_generated
quadratics,Quadratic Equations,10-11,easy,Solve: x^2 − 5x = 0,x = 0 or x = 5,reviewed_generated
quadratics,Quadratic Equations,10-11,easy,Solve: x^2 − 9 = 0,x = 3 or x = −3,reviewed_generated
quadratics,Quadratic Equations,10-11,medium,Solve: x^2 − 7x + 12 = 0,x = 3 or x = 4,reviewed_generated
quadratics,Quadratic Equations,10-11,medium,Solve: x^2 + 2x − 15 = 0,x = −5 or x = 3,reviewed_generated
quadratics,Quadratic Equations,10-11,medium,Find the discriminant of x^2 − 6x + 9 = 0. What does it tell you about the roots?,0; roots are real and equal,reviewed_generated
quadratics,Quadratic Equations,10-11,challenge,Solve: 2x^2 − 5x − 3 = 0,x = 3 or x = −1/2,reviewed_generated
quadratics,Quadratic Equations,10-11,challenge,"Without solving, find the sum and product of the roots of x^2 − 8x + 5 = 0.","Sum = 8, product = 5",reviewed_generated
quadratics,Quadratic Equations,10-11,challenge,The product of two consecutive positive integers is 156. Find the integers.,12 and 13,reviewed_generated
systems-equations,Systems of Equations,10-11,easy,Solve: x + y = 10 and x − y = 4,"x = 7, y = 3",reviewed_generated
systems-equations,Systems of Equations,10-11,easy,Solve: y = 2x and x + y = 12,"x = 4, y = 8",reviewed_generated
systems-equations,Systems of Equations,10-11,easy,Solve: 2x + y = 7 and y = 1,"x = 3, y = 1",reviewed_generated
systems-equations,Systems of Equations,10-11,medium,Solve: 2x + 3y = 12 and x − y = 1,"x = 3, y = 2",reviewed_generated
systems-equations,Systems of Equations,10-11,medium,Solve: x + 2y = 8 and 2x − y = 6,"x = 4, y = 2",reviewed_generated
systems-equations,Systems of Equations,10-11,medium,Two pens and three pencils cost 24. One pen and two pencils cost 14. Find the cost of one pen and one pencil.,"Pen = 6, pencil = 4",reviewed_generated
systems-equations,Systems of Equations,10-11,challenge,Solve: 3x − 2y = 5 and 2x + 5y = 16,"x = 3, y = 2",reviewed_generated
systems-equations,Systems of Equations,10-11,challenge,The digits of a two-digit number add up to 11. Reversing the digits gives a number 27 more than the original. Find the number.,47,reviewed_generated
systems-equations,Systems of Equations,10-11,challenge,A boat travels 30 km downstream in 2 hours and returns upstream in 3 hours. Find the speed of the boat in still water and the speed of the stream.,"Boat = 12.5 km/h, stream = 2.5 km/h",reviewed_generated
trigonometry,Trigonometry,10-11,easy,Find the value of sin 30°.,1/2,reviewed_generated
trigonometry,Trigonometry,10-11,easy,Find the value of tan 45°.,1,reviewed_generated
trigonometry,Trigonometry,10-11,easy,Find the value of cos 60°.,1/2,reviewed_generated
trigonometry,Trigonometry,10-11,medium,"If sin θ = 3/5 and θ is acute, find cos θ.",4/5,reviewed_generated
trigonometry,Trigonometry,10-11,medium,Evaluate: sin^230° + cos^230°,1,reviewed_generated
trigonometry,Trigonometry,10-11,medium,Evaluate: tan 30° × tan 60°,1,reviewed_generated
trigonometry,Trigonometry,10-11,challenge,"From a point 60 m from the base of a tower, the angle of elevation of the top is 30°. Find the height of the tower.",20√3 m (≈ 34.6 m),reviewed_generated
